job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1802,DevOps Engineer,"US, CA, San Francisco",Engineering,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,0,1,Contract,Director,Bachelor's Degree,Marketing & Advertising,Management,0
1191,Data Scientist,"US, TX, Miami",Sales,50000-75000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Entry level,High School or equivalent,Marketing & Advertising,Customer Service,0
1818,Product Designer,"US, WA, San Francisco",Sales,80000-120000,Starlight Health develops modern medical telemetry software.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Temporary,Entry level,Bachelor's Degree,Health Care,Engineering,0
252,Data Scientist,"US, FL, San Francisco",Operations,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,0,1,Full-time,Associate,Bachelor's Degree,Customer Service,Sales,0
2506,QA Engineer,"US, NY, Seattle",Engineering,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Mid-Senior level,Unspecified,Education,Customer Service,0
1118,Marketing Specialist,"US, CA, Miami",Engineering,100000-140000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Entry level,Bachelor's Degree,Information Technology,Management,0
1412,DevOps Engineer,"US, WA, Miami",Human Resources,,Nexus Innovations builds scalable AI systems for healthcare and finance.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Associate,Bachelor's Degree,Retail,Customer Service,0
2114,Sales Executive,"US, TX, Austin",Operations,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Administrative,0
409,Project Manager,"US, WA, San Francisco",Engineering,50000-75000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Retail,Management,0
2580,Mystery Shopper / Financial Transfer Coordinator,"US, CA, Remote",Home Office,100000-200000,FastTrack E-Commerce Solutions.,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Basic computer skills and internet access. Must be available immediately. No background check required.,Instant bonus after completing first task.,1,0,0,Full-time,Entry level,Unspecified,Administrative,Customer Service,1
